,importance
pm10_roll3_mean,0.5292576875000401
co,0.04538677091846503
co_roll24_std,0.030455589475705497
no2_roll24_mean,0.022014031808825166
co_roll24_mean,0.01835302977877342
no2_roll24_std,0.017619772135495114
pm10_diff1,0.015761439663736734
no2_roll12_mean,0.015688125635783912
day_sin,0.015011709668509298
pm2_5_roll24_std,0.014871544194034731
pm10_roll24_std,0.014797236120963715
pm10_roll12_mean,0.01301428761357923
pm10_mom24,0.012065864857436187
pm10_roll24_mean,0.011597056447896712
co_roll12_mean,0.01130641829279273
no2_roll12_std,0.010044682680624417
pm2_5_roll24_mean,0.009270858222035877
aqi_roll24_std,0.008681050529510728
pm10_roll12_std,0.008380875075823727
pm2_5,0.008265991970175962
aqi_roll24_mean,0.007998517665417626
co_roll12_std,0.007891565148949372
no2,0.007412873427038313
pm2_5_diff1,0.007173202786913178
pm2_5_roll12_mean,0.006663546834532816
day_cos,0.006561615700165207
pm10_roll6_mean,0.006523954060968356
no2_roll6_mean,0.005840106875824409
no2_roll6_std,0.0056720249380454585
pm2_5_roll12_std,0.005418515546012473
co_roll6_mean,0.005253563212976947
pm2_5_roll6_mean,0.005201916600007873
no2_diff1,0.004921810348450112
co_roll3_mean,0.004914359852549382
no2_diff6,0.004876969808130858
pm2_5_diff3,0.004418331664291799
pm10_diff6,0.004243527257248143
aqi_roll12_std,0.00418456000925375
pm2_5_roll3_mean,0.004145657958882567
no2_diff3,0.00410569822332623
no2_roll3_mean,0.004036902265288806
co_roll6_std,0.004033776487015425
aqi_roll12_mean,0.0035911940879263158
pm2_5_diff6,0.0033651069156914936
hour_cos,0.0031254176380232914
co_diff1,0.0029776107795418676
pm2_5_roll6_std,0.0028644320246901203
co_diff6,0.0027991545495571054
hour_sin,0.002762553615171456
no2_roll3_std,0.0026927424354520556
pm10_diff3,0.0026055566269469347
pm10_roll6_std,0.002586958410172163
co_roll3_std,0.002375212210247644
pm10_absdiff1,0.0021215417005063042
pm2_5_roll3_std,0.0020359299628533445
aqi_roll6_mean,0.002014438743662213
co_diff3,0.00200379456196898
pm10_roll3_std,0.0017319916632930609
pm10_absdiff3,0.00142193728765671
aqi_roll3_mean,0.0011486178108680895
aqi_roll6_std,0.0010872816117231867
aqi,0.00046632211900249565
aqi_diff6,0.0003318684066261937
aqi_roll3_std,0.0002779191547272989
aqi_diff3,0.00017952606093135268
aqi_diff1,9.587236126306652e-05
